1,United Arab Emirates,Abu Dhabi,
2,Nigeria,Abuja,
3,Ghana,Accra,
4,Pitcairn Islands,Adamstown,
5,Ethiopia,Addis Ababa,
6,Algeria,Algiers,
7,Niue,Alofi,
8,Jordan,Amman,
9,Netherlands,Amsterdam,
10,Andorra,Andorra la Vella,
11,Turkey,Ankara,
12,Madagascar,Antananarivo,
13,Samoa,Apia,
14,Turkmenistan,Ashgabat,
15,Eritrea,Asmara,
16,Kazakhstan,Astana,
17,Paraguay,Asuncin,
18,Greece,Athens,
19,Cook Islands,Avarua,
20,Iraq,Baghdad,
21,Azerbaijan,Baku,
22,Mali,Bamako,
23,Brunei,Bandar Seri Begawan,
24,Thailand,Bangkok,
25,Central African Republic,Bangui,
26,Gambia,Banjul,
27,Saint Kitts and Nevis,Basseterre,
28,China,Beijing,
29,Lebanon,Beirut,
30,Serbia,Belgrade,
31,Belize,Belmopan,
32,Germany,Berlin,
33,Switzerland,Bern,
34,Kyrgyzstan,Bishkek,
35,Guinea-Bissau,Bissau,
36,Colombia,Bogota,
37,Brazil,Brasilia,
38,Slovakia,Bratislava,
39,Republic of the Congo,Brazzaville,
40,Barbados,Bridgetown,
41,Belgium,Brussels,
42,Romania,Bucharest,
43,Hungary,Budapest,
44,Argentina,Buenos Aires,
45,Burundi,Bujumbura,
46,Egypt,Cairo,
47,Australia,Canberra,
48,Venezuela,Caracas,
49,Saint Lucia,Castries,
50,French Guiana,Cayenne,
51,United States Virgin Islands,Charlotte Amalie,
52,Moldova,Chisinau,
53,Turks and Caicos Islands,Cockburn Town,
54,Guinea,Conakry,
55,Denmark,Copenhagen,
56,Senegal,Dakar,
57,Syria,Damascus,
58,Bangladesh,Dhaka,
59,East Timor (Timor-Leste),Dili,
60,Djibouti,Djibouti,
61,Tanzania,Dar es Salaam,
62,Qatar,Doha,
63,Isle of Man,Douglas,
64,Ireland,Dublin,
65,Tajikistan,Dushanbe,
68,Akrotiri and Dhekelia,Episkopi Cantonment,
69,Christmas Island,Flying Fish Cove,
70,Sierra Leone,Freetown,
71,Tuvalu,Funafuti,
72,Botswana,Gaborone,
73,Cayman Islands,George Town,
74,Ascension Island,Georgetown,
75,Guyana,George_town,
76,Gibraltar,Gibraltar,
77,South Georgia and the South Sandwich Islands,Grytviken,
78,Guatemala,Guatemala City,
79,Saint Barthlemy,Gustavia,
80,Guam,Hagta,
81,Bermuda,Hamilton,
82,Easter Island,Hanga Roa,
83,Vietnam,Hanoi,
84,Zimbabwe,Harare,
85,Somaliland,Hargeisa,
86,Cuba,Havana,
87,Finland,Helsinki,
88,Solomon Islands,Honiara,
89,Pakistan,Islamabad,
90,Indonesia,Jakarta,
91,Saint Helena,Jamestown,
92,Israel,Jerusalem,
94,South Sudan,Juba,
95,Afghanistan,Kabul,
96,Uganda,Kampala,
97,Nepal,Kathmandu,
98,Sudan,Khartoum,
99,Ukraine,Kiev,
100,Rwanda,Kigali,
101,Jamaica,Kingston,
102,Norfolk Island,kingston,
103,Saint Vincent and the Grenadines,Kingstown,
104,Democratic Republic of the Congo,Kinshasa,
105,Malaysia,Kuala Lumpur,
106,Kuwait,Kuwait City,
107,Gabon,Libreville,
108,Malawi,Lilongwe,
109,Peru,Lima,
110,Portugal,Lisbon,
111,Slovenia,Ljubljana,
112,Togo,Lome,
113,United Kingdom,London,
114,Angola,Luanda,
115,Zambia,Lusaka,
116,Luxembourg,Luxembourg,
117,Spain,Madrid,
118,Marshall Islands,Majuro,
119,Equatorial Guinea,Malabo,
120,Maldives,Male,
121,Nicaragua,Managua,
122,Bahrain,Manama,
123,Philippines,Manila,
124,Mozambique,Maputo,
125,Saint Martin,Marigot,
126,Lesotho,Maseru,
127,Wallis and Futuna,Mata-Utu,
128,Swaziland,Mbabane,
129,Palau,Melekeok,
130,Mexico,Mexico City,
131,Belarus,Minsk,
132,Somalia,Mogadishu,
133,Monaco,Monaco,City-state
134,Liberia,Monrovia,
135,Uruguay,Montevideo,
136,Comoros,Moroni,
137,Russia,Moscow,
138,Oman,Muscat,
139,Kenya,Nairobi,
140,Bahamas,Nassau,
141,Burma,Naypyidaw,
142,Chad,NDjamena,
143,India,New Delhi,
144,Niger,Niamey,
145,Cyprus,Nicosia,
147,Mauritania,Nouakchott,
148,New Caledonia,Nouma,
149,Tonga,Nukualofa,
150,Greenland,Nuuk,
151,Aruba,Oranjestad,
152,Norway,Oslo,
153,Canada,Ottawa,
154,Burkina Faso,Ouagadougou,
155,American Samoa,Pago Pago,
156,Federated States of Micronesia,Palikir,
157,Panama,Panama City,
158,French Polynesia,Papeete,
159,Suriname,Paramaribo,
160,France,Paris,
161,Sint Maarten,Philipsburg,
162,Cambodia,Phnom Penh,
163,Montserrat,Plymouth,
164,Montenegro,Podgorica,
165,Mauritius,Port Louis,
166,Papua New Guinea,Port Moresby,
167,Vanuatu,Port Vila,
168,Haiti,Port-au-Prince,
169,Trinidad and Tobago,Port of Spain,
170,Benin,Porto-Novo,
171,Czech Republic,Prague,
172,Cape Verde,Praia,
173,South Africa,Pretoria,
174,Kosovo,Pristina,
175,North Korea,Pyongyang,
176,Ecuador,Quito,
177,Morocco,Rabat,
178,Iceland,Reykjavik,
179,Latvia,Riga,
180,Saudi Arabia,Riyadh,
181,British Virgin Islands,Road Town,
182,Italy,Rome,
183,Dominica,Roseau,
184,Northern Mariana Islands,Saipan,
185,Costa Rica,San Jose,
186,Puerto Rico,San Juan,
187,San Marino,San Marino,
188,El Salvador,San Salvador,
189,Yemen,Sana'a,
190,Chile,Santiago,
191,Dominican Republic,Santo Domingo,
192,San Tome and Principe,San Tome and Principe,
193,Bosnia and Herzegovina,Sarajevo,
194,South Korea,Seoul,
195,Singapore,Singapore,
196,Macedonia,Skopje,
197,Bulgaria,Sofia,
198,Sri Lanka,Colombo,
199,Grenada,St. George's,
200,Jersey,St. Helier,
201,Antigua and Barbuda,St. John's,
202,Guernsey,St. Peter Port,
203,Saint Pierre and Miquelon,St. Pierre,
204,Falkland Islands,Stanley,
205,Nagorno-Karabakh Republic,Stepanakert,
206,Sweden,Stockholm,
207,Bolivia,La Paz,
208,Abkhazia,Sukhumi,
209,Fiji,Suva,
210,Taiwan,Taipei,
211,Estonia,Tallinn,
212,Kiribati,Tarawa,
213,Uzbekistan,Tashkent,
214,Georgia,Tbilisi,
215,Honduras,Tegucigalpa,
216,Iran,Tehran,
217,Bhutan,Thimphu,
218,Albania,Tirana,
219,Transnistria,Tiraspol,
220,Japan,Tokyo,
221,Faroe Islands,Tarshavn,
222,Libya,Tripoli,
223,South Ossetia,Tskhinvali,
224,Tunisia,Tunis,
225,Mongolia,Ulan Bator,
226,Liechtenstein,Vaduz,
227,Malta,Valletta,
228,Anguilla,The Valley,
229,Vatican City,Vatican City,
230,Seychelles,Victoria,
231,Austria,Vienna,
232,Laos,Vientiane,
233,Lithuania,Vilnius,
234,Poland,Warsaw,
235,United States,Washington,
236,New Zealand,Wellington,
237,Cocos Islands,West Island,
238,Curacao,Willemstad,
239,Namibia,Windhoek,
240,Ivory Coast,Yamoussoukro,
241,Cameroon,Yaoundi,
242,Nauru,Yaren,
243,Armenia,Yerevan,
244,Croatia,Zagreb,